timestep,reward
6969792,1.1964
6988992,1.2125
7008192,1.1271
7027392,1.1061
7046592,1.1454
7065792,1.1227
7084992,0.9648
7104192,1.0218
7123392,1.0927
7142592,0.994
7161792,1.0562
7180992,1.1005
7200192,1.1505
7219392,1.0946
7238592,0.9699
7257792,1.127
7276992,1.0667
7296192,1.181
7315392,0.933
7334592,1.1534
7353792,1.029
7372992,1.0728
7392192,1.0197
7411392,1.0857
7430592,1.1095
7449792,1.0654
7468992,1.1798
7488192,1.0222
7507392,1.1384
7526592,1.0513
7545792,1.1253
7564992,0.9961
7584192,1.0685
7603392,1.1093
7622592,1.0354
7641792,1.0617
7660992,1.0511
7680192,1.0903
7699392,1.0656
7718592,0.9946
7737792,1.157
7756992,1.1055
7776192,1.0996
7795392,1.0619
7814592,1.0955
7833792,1.0141
7852992,1.0975
7872192,1.1329
7891392,1.196
7910592,1.1011
7929792,0.957
7948992,1.1014
7968192,1.0808
7987392,1.0065
8006592,1.1547
8025792,1.129
8044992,0.9441
8064192,1.2405
8083392,0.953
8102592,1.1033
8121792,1.1346
8140992,1.2469
8160192,1.0351
8179392,1.0972
8198592,1.1259
8217792,1.0329
8236992,1.0388
8256192,1.1526
8275392,1.0876
8294592,1.1274
8313792,1.0485
8332992,1.0058
8352192,0.9419
8371392,1.0394
8390592,1.0
8409792,1.2135
8428992,1.0315
8448192,0.9616
8467392,1.0819
8486592,1.0219
8505792,1.0702
8524992,1.0714
8544192,1.1163
8563392,1.0622
8582592,1.0714
8601792,1.0934
8620992,1.0297
8640192,1.0014
8659392,1.1395
8678592,1.1384
8697792,0.9096
8716992,1.0203
8736192,1.0577
8755392,1.0531
8774592,1.1065
8793792,1.0825
8812992,1.1223
8832192,0.9621
8851392,1.1195
8870592,1.119
8889792,1.0513
8908992,1.0259
8928192,1.0136
8947392,1.0195
8966592,1.0413
8985792,1.0407
9004992,0.9567
9024192,1.0787
9043392,1.0642
9062592,1.0657
9081792,1.0184
9100992,0.9677
9120192,1.0737
9139392,1.1364
9158592,0.9718
9177792,1.076
9196992,1.0048
9216192,0.9546
9235392,1.0684
9254592,1.0465
9273792,1.1101
9292992,1.1324
9312192,1.1824
9331392,1.055
9350592,1.0816
9369792,1.1418
9388992,1.0774
9408192,1.0186
9427392,1.1231
9446592,1.1942
9465792,1.0873
9484992,1.0373
9504192,0.9555
9523392,1.0929
9542592,0.9976
9561792,1.0355
9580992,1.1235
9600192,1.0833
9619392,0.9601
9638592,1.0684
9657792,1.1526
9676992,0.9513
9696192,0.9995
9715392,1.0855
9734592,0.9445
9753792,1.0687
9772992,1.1525
9792192,1.099
9811392,1.1136
9830592,1.0555
9849792,0.872
9868992,1.0282
9888192,1.1297
9907392,1.0699
9926592,1.0941
9945792,1.0947
9964992,1.1746
9984192,1.0006
10003392,0.9987
10022592,1.0819
10041792,1.018
10060992,1.1572
10080192,1.1167
10099392,0.9811
10118592,0.9338
10137792,1.0399
10156992,1.0308
10176192,0.9491
10195392,1.1355
10214592,0.8226
10233792,0.9524
10252992,1.1194
10272192,1.1123
10291392,1.0331
10310592,1.147
10329792,1.1065
10348992,1.0848
10368192,1.0125
10387392,1.0681
10406592,1.1022
10425792,1.0506
10444992,0.9685
10464192,1.0753
10483392,1.0881
10502592,1.0095
10521792,0.9754
10540992,1.2103
10560192,1.0181
10579392,1.0373
10598592,1.0378
10617792,1.1091
10636992,0.9302
10656192,1.0187
10675392,1.0065
10694592,1.1272
10713792,1.034
10732992,1.0653
10752192,0.9516
10771392,1.0131
10790592,1.168
10809792,1.0605
10828992,1.1122
10848192,1.1209
10867392,1.2173
10886592,1.1126
10905792,1.0505
10924992,1.094
10944192,1.0813
10963392,0.9565
10982592,1.1398
11001792,0.97
11020992,1.0637
11040192,0.8472
11059392,1.0731
11078592,0.9496
11097792,1.078
11116992,1.0507
11136192,1.1014
11155392,0.994
11174592,0.9703
11193792,1.1919
11212992,1.1837
11232192,1.0123
11251392,1.1469
11270592,0.9828
11289792,0.9917
11308992,1.0961
11328192,0.9472
11347392,0.9184
11366592,1.0411
11385792,1.0174
11404992,1.061
11424192,1.0611
11443392,1.0797
11462592,1.0702
11481792,0.9534
11500992,0.9764
11520192,1.1367
11539392,1.0384
11558592,1.0423
11577792,0.9976
11596992,1.0493
11616192,0.9762
11635392,1.0315
11654592,1.0291
11673792,0.8688
11692992,1.05
11712192,1.0733
11731392,1.0299
11750592,0.9842
11769792,1.0852
11788992,1.0095
11808192,1.0035
11827392,1.0918
11846592,1.0662
11865792,0.9592
11884992,1.0006
11904192,0.9823
11923392,1.0127
11942592,1.1314
11961792,1.0925
11980992,1.0853
12000192,1.1248
12019392,0.9999
12038592,1.0616
12057792,0.9467
12076992,0.9849
12096192,1.0466
12115392,0.981
12134592,0.9756
12153792,0.9753
12172992,1.0334
12192192,1.0449
12211392,1.141
12230592,1.0429
12249792,1.0465
12268992,1.1649
12288192,1.037
12307392,1.0519
