timestep,reward
186546,1.4954
187076,1.4784
187602,1.4149
188125,1.5176
188654,1.5988
189167,1.5466
189667,1.3922
190172,1.3894
190688,1.5147
191213,1.6169
191723,1.513
192229,1.5321
192741,1.5661
193240,1.6251
193773,1.5875
194282,1.5105
194793,1.4395
195313,1.4767
195832,1.52
196381,1.4894
196865,1.3905
197370,1.4832
197875,1.4844
198378,1.5725
198891,1.4859
199397,1.5903
199926,1.4998
200437,1.518
200909,1.4883
201401,1.4852
201911,1.4454
202427,1.5575
202955,1.5163
203487,1.4423
204008,1.4739
204506,1.5247
205015,1.3408
205488,1.4418
205998,1.4523
206491,1.5834
207043,1.5679
207547,1.5208
208043,1.4015
208562,1.3349
209088,1.4942
209582,1.5777
210090,1.4361
210584,1.4728
211072,1.518
211586,1.5686
212089,1.5548
212604,1.6507
213100,1.5113
213591,1.4256
214077,1.4301
214605,1.5004
215105,1.5033
215600,1.4533
216102,1.4865
216629,1.4571
217162,1.5813
217677,1.5685
218203,1.5912
218691,1.4434
219215,1.406
219740,1.5065
220251,1.5641
220771,1.6087
221275,1.5509
221771,1.5769
222268,1.5684
222785,1.5281
223288,1.4305
223819,1.4557
224341,1.5888
224845,1.5748
225358,1.4758
225883,1.4569
226396,1.4182
226892,1.3841
227375,1.4419
227878,1.3995
228376,1.3763
228881,1.468
229371,1.4427
229886,1.4786
230396,1.5091
230882,1.467
231368,1.4759
231897,1.4
232405,1.3899
232921,1.5108
233439,1.4953
233948,1.5632
234469,1.5625
234960,1.5704
235453,1.4896
235961,1.4365
236452,1.4836
236911,1.4703
237425,1.5694
237924,1.5437
238445,1.4877
238970,1.4389
239483,1.4937
239995,1.4652
240494,1.4819
240997,1.52
241513,1.5427
242017,1.4831
242545,1.5397
243067,1.5406
243597,1.5229
244089,1.5744
244614,1.5555
245126,1.4335
245650,1.4392
246191,1.566
246711,1.4912
247231,1.4712
247733,1.4577
248221,1.5526
248748,1.4436
249262,1.3501
249754,1.5228
250243,1.5992
250749,1.4602
251259,1.5155
251760,1.3841
252243,1.4363
252752,1.4915
253256,1.5115
253750,1.4376
254252,1.5193
254748,1.4556
255246,1.4892
255753,1.4993
256259,1.4115
256774,1.4942
257287,1.5183
257807,1.4488
258307,1.5669
258833,1.4846
259313,1.5353
259828,1.4459
260320,1.5091
260860,1.4604
261392,1.4732
261898,1.4855
262415,1.5987
262901,1.4209
263434,1.6103
263929,1.52
264437,1.351
264941,1.4327
265458,1.4575
265935,1.4603
266435,1.4792
266944,1.361
267445,1.4859
267944,1.427
268433,1.5105
268945,1.5312
269440,1.504
269946,1.3975
270467,1.448
270961,1.5225
271456,1.5826
271958,1.5445
272469,1.5739
272967,1.5343
273472,1.5249
273973,1.4441
274465,1.5082
274947,1.5454
275462,1.5965
275978,1.5077
276501,1.3936
276995,1.4386
277523,1.4628
278054,1.5296
278554,1.5679
279068,1.5648
279590,1.3863
280087,1.4296
280561,1.4116
281067,1.4941
281580,1.4446
282099,1.4598
282620,1.4647
283144,1.3878
283653,1.3802
284179,1.4483
284689,1.5943
285231,1.57
285743,1.5265
286245,1.4039
286742,1.4445
287248,1.5459
287773,1.3816
288281,1.5075
288795,1.4818
289296,1.4315
289781,1.4398
290263,1.4954
290784,1.4951
291294,1.4651
291810,1.412
292311,1.3855
292813,1.4181
293313,1.4231
293826,1.5025
294353,1.5307
294847,1.4402
295367,1.431
295864,1.3819
296364,1.4686
296846,1.468
297359,1.4707
297822,1.4336
298316,1.5149
298813,1.5279
299300,1.5146
299796,1.3957
300270,1.4818
300769,1.4347
301261,1.427
301770,1.4049
302247,1.5354
302759,1.4667
303268,1.3761
303743,1.4039
304231,1.379
304705,1.4863
305216,1.5264
305724,1.55
306202,1.4375
306701,1.4505
307183,1.4982
307673,1.6614
308198,1.5173
308717,1.4726
309206,1.5361
309698,1.5264
310181,1.3959
310683,1.5751
311187,1.5595
311713,1.4457
312211,1.4424
312712,1.5214
313216,1.4057
313705,1.4125
314216,1.4396
314709,1.5085
315201,1.4466
315706,1.4797
316195,1.4669
316693,1.4601
317190,1.4672
317685,1.5041
318173,1.5048
318677,1.3092
319168,1.5464
319649,1.4371
320154,1.5445
320666,1.4331
321181,1.4884
321706,1.4157
322202,1.4763
322690,1.478
323153,1.5322
323655,1.3626
324163,1.3307
324662,1.4117
325164,1.4241
325664,1.5663
326157,1.49
326659,1.3379
327119,1.4337
327642,1.5635
328141,1.5299
328661,1.5
329163,1.4744
329663,1.5074
330168,1.4987
330672,1.532
331155,1.54
331701,1.5245
332195,1.6408
332734,1.676
333251,1.5659
333739,1.5023
334244,1.6014
334750,1.5142
335257,1.5455
335766,1.5144
336284,1.4756
336789,1.4413
337274,1.5442
337780,1.4515
338296,1.5312
338793,1.5232
339290,1.3795
339792,1.4776
340294,1.4794
340792,1.5356
341283,1.4329
341791,1.4126
342310,1.5047
342828,1.5796
343343,1.5108
343860,1.4393
344340,1.4569
344851,1.5485
345372,1.6306
345882,1.4886
346411,1.457
346904,1.4426
347422,1.4248
347930,1.5642
348452,1.6552
348931,1.5595
349414,1.5651
349920,1.4579
350411,1.4751
350896,1.5104
351401,1.6495
351908,1.5034
352383,1.5893
352845,1.4564
353339,1.3887
353820,1.51
354315,1.3662
354807,1.4273
