timestep,reward
128828,1.9855
129120,1.9797
129454,1.8162
129798,1.974
130123,2.0218
130489,1.9676
130781,1.8727
131121,2.0504
131404,2.0699
131702,2.034
132025,2.1284
132341,2.0131
132683,2.0249
133014,2.0659
133345,1.9921
133671,1.972
133992,2.0002
134322,2.0169
134660,2.0503
134963,2.0532
135267,2.0902
135572,2.0154
135890,2.0391
136211,2.0568
136506,1.9379
136843,1.9613
137190,1.9929
137525,1.9898
137813,2.0723
138142,1.898
138477,1.632
138812,2.0184
139157,1.9324
139445,1.9774
139773,1.9852
140118,1.9199
140457,2.0248
140806,2.0199
141114,1.9574
141481,1.9312
141801,1.9455
142109,2.0248
142402,2.0997
142744,1.9962
143077,2.039
143368,1.9963
143698,2.0118
143997,2.0234
144315,2.0508
144667,1.9875
145001,1.9522
145317,2.1092
145626,1.9854
145962,1.9521
146308,1.9595
146629,2.0208
146958,2.0082
147264,2.0228
147596,1.9486
147939,1.936
148286,1.9286
148638,1.8385
148963,2.0374
149279,1.9722
149594,1.9585
149920,1.9574
150252,2.0369
150610,2.0862
150925,1.9448
151211,2.0681
151525,1.9544
151836,2.0486
152153,2.0663
152483,2.0167
152809,2.0921
153116,2.0004
153440,1.9397
153788,1.9266
154110,1.922
154433,1.7566
154757,1.9163
155097,2.0177
155421,1.9497
155766,1.7952
156106,1.8428
156460,1.888
156782,1.845
157141,1.8242
157491,1.8768
157805,2.0503
158127,2.0416
158448,1.9872
158783,2.0572
159145,2.0894
159478,2.1544
159806,1.9469
160123,1.9604
160482,2.0782
160840,2.0768
161164,1.9917
161494,2.0813
161814,2.0221
162109,1.9615
162467,1.9431
162784,1.8933
163120,2.0396
163426,1.9215
163782,2.0336
164092,2.1284
164444,2.0169
164786,1.9712
165126,2.0457
165479,1.9269
165813,2.0607
166159,1.9274
166504,2.0527
166858,1.9278
167185,1.8953
167494,2.0963
167818,2.1839
168152,1.9821
168464,1.9737
168777,2.1363
169091,2.0317
169416,2.0151
169753,2.1744
170110,2.0808
170454,1.9624
170762,2.0616
171065,1.9673
171376,2.0019
171684,1.967
172024,1.9361
172371,2.0265
172706,2.1295
173054,2.2573
173421,2.1414
173739,2.2
174052,2.1627
174416,2.1946
174734,2.0524
175025,2.1293
175343,2.0853
175658,2.113
175956,2.108
176318,2.1305
176646,2.0948
177009,2.1123
177332,2.2024
177651,2.1884
177957,1.992
178278,2.184
178586,2.2256
178904,2.1114
179236,2.2309
179577,2.1281
179903,2.0731
180227,2.1946
180536,2.0543
180883,2.2062
181206,2.1933
181525,2.0451
181857,2.2127
182158,2.0442
182504,2.2178
182824,2.1547
183144,2.2543
183458,2.1614
183786,2.1384
184116,2.134
184416,2.2053
184749,2.225
185117,2.2072
185442,2.2836
185764,2.0263
186080,2.2246
186381,2.2591
186701,2.2368
187034,2.2732
187342,2.3222
187699,2.0025
188044,2.1513
188341,2.1937
188646,2.0027
188945,2.2384
189251,2.1617
