timestep,reward
240833,0.356
241470,0.3656
242112,0.2345
242736,0.2011
243358,0.3746
243996,0.4925
244615,0.3394
245234,0.4127
245863,0.351
246495,0.3821
247123,0.2346
247738,0.453
248357,0.4399
248963,0.325
249586,0.1178
250207,0.8961
250835,0.2917
251471,0.3052
252094,0.3987
252724,0.2178
253353,0.3001
253953,0.8634
254590,0.6337
255222,0.8424
255838,0.0629
256451,0.2815
257081,0.3343
257709,0.3518
258336,0.3396
258960,-0.0059
259589,0.3052
260239,0.381
260860,0.4112
261456,0.5046
262079,0.4843
262686,0.2595
263333,0.3635
263944,0.2056
264580,0.3805
265190,0.3721
265815,0.3091
266426,0.1344
267033,0.2434
267673,0.2016
268282,0.3845
268902,-0.1377
269533,0.1398
270162,0.2269
270794,0.3144
271427,0.4792
272033,0.3058
272644,0.3806
273265,0.2654
273902,0.372
274513,0.3874
275145,0.1815
275760,0.344
276385,0.4281
277005,0.1658
277618,0.306
278233,0.3056
278847,0.323
279486,0.2166
280127,0.2225
280725,0.2152
281355,0.2941
281994,0.3524
282615,0.3529
283231,0.4055
283869,0.1574
284490,0.4513
285109,0.1385
285721,0.4567
286340,0.5315
286970,0.3863
287609,0.8843
288213,0.4439
288841,0.7905
289488,0.8831
290116,0.8483
290750,0.632
291374,0.5565
291991,0.693
292609,0.9552
293230,0.8507
293844,0.7908
294476,0.6732
295114,0.1558
295747,0.581
296384,0.3289
297009,0.88
297651,0.7547
298285,1.5103
298931,0.8296
299544,1.2381
300181,1.393
300785,1.3381
301422,1.3235
302062,1.417
302667,0.8517
303292,0.7522
303913,0.7371
304560,0.8936
305181,0.6802
305806,1.2828
306426,1.4128
307049,1.2841
307653,1.3364
308279,0.7724
308925,1.4024
309561,0.939
310168,0.2533
310801,0.7943
311404,1.276
312039,1.3423
312683,1.3258
313304,1.3926
313927,1.1742
314570,1.286
315203,1.1921
315807,1.4623
316436,1.3913
317052,0.9392
317665,0.714
318312,1.3831
318938,1.2036
319567,1.3537
320196,1.3669
320837,1.1976
321486,1.2767
322122,1.3959
322765,1.3292
323413,1.4029
324053,1.2747
324694,1.5102
325329,1.3513
325968,1.3806
326609,1.505
327224,1.4193
327835,1.2265
328470,1.1788
329121,1.4069
329745,1.4303
330367,0.2395
330984,0.2692
331610,0.3884
332226,0.2757
332842,0.3482
333466,0.3522
334105,1.4247
334730,1.5462
335348,0.4799
335969,0.2362
336579,1.3734
337233,0.6779
337856,0.2295
338483,0.4628
339100,0.2722
339732,0.3425
340373,0.2665
341003,0.5186
341613,0.4142
342230,0.2637
342831,0.0499
343451,0.3258
344089,0.1827
344715,0.2727
345351,0.0733
345984,0.2007
346600,0.4649
347212,0.1137
347833,0.3085
348450,0.3058
349066,0.4266
349671,0.4125
350298,0.3829
350919,0.2539
351553,0.214
352165,0.3879
352782,0.3246
353392,0.4811
354016,0.1377
354659,0.2175
355269,0.0375
355891,0.2489
356518,0.5117
357139,0.3686
357760,0.3304
358381,0.366
359021,0.2507
359635,0.3745
360237,0.1805
360872,0.3384
361511,0.2451
362141,0.3338
362770,0.2442
363383,0.3152
364008,0.2317
364638,0.2329
365261,0.2372
365884,1.912
366531,1.8446
367183,1.2998
367815,0.8179
368446,0.8096
369082,0.9512
369711,0.9082
370336,0.836
370958,0.8613
371601,0.4123
372231,0.4826
372817,0.1483
373445,0.9255
374078,0.8659
374696,0.8476
375327,1.2617
375954,0.8777
376605,0.761
377212,1.2218
377842,1.3334
378463,0.8877
379094,1.3302
379720,1.532
380323,1.1878
380958,2.015
381604,2.0619
382231,1.8414
382878,1.8412
383508,1.8895
384138,1.9669
384757,1.9564
385384,1.76
386011,1.8888
386636,1.8664
387288,2.0059
387918,1.8553
388553,2.1023
389199,1.9474
389856,1.9711
390489,0.7546
391125,1.425
391748,1.9603
392401,1.9261
393046,1.242
393680,0.8049
394286,0.3903
394903,0.4117
395525,0.2353
396160,0.6995
396775,0.8469
397416,0.7712
398044,0.5203
398675,0.3993
399285,0.39
399903,0.0729
400534,0.3004
401150,0.2438
401758,0.2179
402371,0.1624
402953,0.2195
403586,0.2695
404198,0.3824
404829,0.2519
405455,0.2689
406072,0.312
406681,0.327
407300,0.386
407904,0.2226
408526,0.2112
409137,0.2675
409766,0.2924
410385,0.2309
411001,0.2414
411637,0.3213
412261,0.2988
412881,0.0577
413510,0.2117
414137,0.3666
414755,0.2381
415358,0.195
415987,0.3155
416606,0.2332
417224,0.0794
417857,0.5164
418475,0.3194
419101,0.4301
419726,0.4568
420346,0.1832
420977,0.1891
421608,0.3869
422251,0.4228
422867,0.3681
423473,0.3654
424107,0.4181
424735,0.3265
425347,0.3249
425962,0.2027
426583,0.3845
427205,0.4449
427818,0.2827
428453,0.088
429082,0.3379
429720,0.2421
430369,0.1241
431013,0.0215
431639,0.374
432272,0.4138
432890,0.4153
433511,0.3684
434119,0.4082
434748,0.1471
435370,0.2314
435980,0.1913
436596,0.2346
437219,0.471
437848,0.2558
438464,0.1252
439085,0.3366
439729,0.6004
440368,0.7948
441012,0.8129
441642,1.2624
442292,0.7582
442925,1.4942
443564,1.4797
444192,1.4005
444843,1.3317
445453,1.2923
446107,1.3634
446766,1.2658
447407,1.3947
448036,1.9143
448654,1.8715
449292,2.0935
449916,1.9819
450529,1.2932
451149,1.8854
451790,1.8697
452437,1.9167
453099,1.6843
453714,1.7957
454349,1.831
454978,1.9876
455622,1.9852
456261,1.9693
456892,1.3739
457528,1.1964
458143,1.2214
458767,1.4859
459386,1.3766
460017,1.3493
460630,1.4591
461252,1.4
461895,1.2801
462528,1.3425
463162,1.4559
463804,1.4111
464457,1.3232
465092,1.3887
465715,1.4612
466344,1.2498
466977,1.3524
467591,1.4275
468241,1.3597
468871,1.2308
469479,1.4715
470100,1.299
470725,1.4456
471360,1.367
472009,0.3191
472648,0.3953
473278,0.4725
473907,0.3331
474519,0.3424
475137,0.4159
475760,0.0932
476402,0.3849
477032,0.2905
477657,0.4335
478279,0.2268
478899,0.2947
479518,0.3577
480126,0.415
480745,0.2274
481372,0.1253
481986,0.3759
482601,0.1439
483233,0.3706
483853,0.2688
484484,0.4093
485109,0.2875
485719,0.4017
486334,0.2312
486961,0.4729
487601,0.0873
488242,0.4451
488869,0.3686
489476,0.2373
490087,0.1775
490721,0.3809
491345,0.2675
491974,0.4903
492589,0.2822
493214,0.2801
493822,0.6365
494447,0.3938
495068,0.3133
495696,0.3904
496316,0.354
496949,0.3961
497586,0.2058
498212,0.152
498840,0.2743
499470,0.1887
500096,0.2974
500721,0.416
501374,0.4118
502001,0.3145
502629,0.4111
503240,0.1207
503850,0.243
504467,0.7624
505102,0.2749
505740,0.809
506384,1.3872
507025,0.8988
507656,1.4293
508295,1.1678
508931,0.7327
509563,1.83
510220,0.578
510851,0.786
511494,1.2326
512149,1.7741
512826,1.3164
513474,1.7425
514120,1.1478
514754,1.6509
515388,1.7725
516035,1.7949
516687,1.7575
517325,1.9642
517966,1.8327
518627,1.6955
519282,1.7401
519916,1.7267
520573,1.8946
521225,1.8459
521863,2.1168
522499,1.8104
523123,1.8477
523788,1.7044
524419,1.7157
525040,1.8242
525688,1.6104
526348,1.7763
526984,0.5591
527625,1.1074
528263,0.7202
528903,0.7984
529543,0.5905
530158,0.7731
530789,0.3268
531411,0.9345
532037,0.7488
532668,0.3134
533288,0.2782
533911,0.3298
534536,-0.0036
535159,0.0374
